Title,Rating,Genre,Release Date,Production Company,Budget,Gross Worldwide
Bad Boys: Ride or Die,7.0,Action,2024-06-05,Columbia Pictures,100000000,223179517
Bad Boys: Ride or Die,7.0,Adventure,2024-06-05,Columbia Pictures,100000000,223179517
Bad Boys: Ride or Die,7.0,Comedy,2024-06-05,Columbia Pictures,100000000,223179517
Furiosa: A Mad Max Saga,7.8,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Furiosa: A Mad Max Saga,7.8,Adventure,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Furiosa: A Mad Max Saga,7.8,Sci-Fi,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Sous la Seine,5.2,Action,2024-06-05,Production company not found.,25000000,Gross worldwide not found.
Sous la Seine,5.2,Drama,2024-06-05,Production company not found.,25000000,Gross worldwide not found.
Sous la Seine,5.2,Horror,2024-06-05,Production company not found.,25000000,Gross worldwide not found.
The Fall Guy,7.0,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
The Fall Guy,7.0,Comedy,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
The Fall Guy,7.0,Drama,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Godzilla Minus One,7.8,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Godzilla Minus One,7.8,Adventure,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Godzilla Minus One,7.8,Drama,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Civil War,7.2,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Civil War,7.2,Adventure,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Civil War,7.2,Thriller,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Dune: Part Two,8.6,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Dune: Part Two,8.6,Adventure,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Dune: Part Two,8.6,Drama,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Kingdom of the Planet of the Apes,7.2,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Kingdom of the Planet of the Apes,7.2,Adventure,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Kingdom of the Planet of the Apes,7.2,Drama,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
The Ministry of Ungentlemanly Warfare,6.9,Action,2024-04-19,Black Bear,60000000,26606603
The Ministry of Ungentlemanly Warfare,6.9,Drama,2024-04-19,Black Bear,60000000,26606603
The Ministry of Ungentlemanly Warfare,6.9,War,2024-04-19,Black Bear,60000000,26606603
Atlas,5.6,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Atlas,5.6,Adventure,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Atlas,5.6,Drama,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Godzilla x Kong: The New Empire,6.2,Action,2024-03-27,Legendary Entertainment,135000000,567650016
Godzilla x Kong: The New Empire,6.2,Adventure,2024-03-27,Legendary Entertainment,135000000,567650016
Godzilla x Kong: The New Empire,6.2,Fantasy,2024-03-27,Legendary Entertainment,135000000,567650016
Bad Boys for Life,6.5,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Bad Boys for Life,6.5,Comedy,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Bad Boys for Life,6.5,Crime,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Dune,8.0,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Dune,8.0,Adventure,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
Dune,8.0,Drama,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,Action,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,Adventure,Release date not found.,Production company not found.,Budget not found.,Gross worldwide not found.
